tr_w,tr_l,tr_h,st_w,st_l,st_h
2.2,80,2.8,3.0,84,0.8
2.2,80,2.8,4.0,84,0.2
2.2,80,2.8,4.0,84,0.4
2.2,80,2.8,4.0,84,0.6
2.2,80,2.8,4.0,84,0.8
2.2,80,3.0,2.0,84,0.2
2.2,80,3.0,2.0,84,0.4
2.2,80,3.0,2.0,84,0.6
2.2,80,3.0,2.0,84,0.8
2.2,80,3.0,3.0,84,0.2
2.2,80,3.0,3.0,84,0.4
2.2,80,3.0,3.0,84,0.6
2.2,80,3.0,3.0,84,0.8
2.2,80,3.0,4.0,84,0.2
2.2,80,3.0,4.0,84,0.4
2.2,80,3.0,4.0,84,0.6
2.2,80,3.0,4.0,84,0.8
